неопределенное наречие*Одна из тем, | видоизменяясь, проходит через все части.*несколько
определительное местоимение*Он признан одним из величайших и сложнейших произведений своего жанра во | мировой фортепианной литературе.*всей
определительное местоимение*Игры во | категориях проводят официальным мячом 3х3.*всех
притяжательное местоимение*Блок жестов почти не делал. В | выговоре был некоторый дефект.*его
притяжательное местоимение*Человек, проснувшись поутру, чувствует, что в | жилах течет уже не рабская кровь, а настоящая человеческая.*его
притяжательное местоимение*Ребёнок ещё не научился как следует говорить, а | чистый слух уже ловит журчание бабушкиных сказок.*его
притяжательное местоимение*Это означает, что каждый из нас на протяжении | жизни успевает «наговорить» около 400 томов объёмом по тысяче страниц.*своей
уточняющую частицу*Таким образом, конспект должен обладать содержательной, смысловой и структурной целостностью. | конспектирование было важной частью человеческой истории.*именно/как раз/какраз
уточняющую частицу*Одной из основных внутренних тем романа является | тема неадекватности герою его судьбы и его положения*именно/как раз/какраз
ограничительно-выделительную частицу*Легко можно было угадать по лицу человека, когда совершилась борьба молодости со зрелостью. | рот сохранял свежее выражение.*только/лишь/исключительно/только лишь/единственно/всего лишь/тольколишь/всеголишь
ограничительно-выделительную частицу*Иллюстративный материал (который присутствует не всегда) берется в основном | из художественной литературы*только/лишь/исключительно/только лишь/тольколишь/единственно
выделительно-ограничительную частицу*Врач-эпидемиолог обязан выполнять | ту работу, по которой прошёл обучение.*только/лишь/исключительно/только лишь/тольколишь
усилительную частицу*Больше скажу - в слове «живот» для меня что-то священное, - | просто «болит живот» меня заливает волной сочувствия.*даже/ведь/уже/все-таки
усилительную частицу*Понятно, что люди общаются с представителями своей | социальной среды - достаточно вспомнить «Пигмалиона» Б. Шоу, где герой начинает строительство человека со строительства его речи.*же
указательную частицу*Над этою зеленоватою мутью в тумане гремел и дрожал, | куда убегая, чёрный, чёрный такой Николаевский Мост.*вон/вот
производный предлог* | устной речи, которая формируется по подражанию, письмо развивается позже в процессе обучения.*в отличие от/вотличиеот
производный предлог*Я приехал в Пятигорск, нанял квартиру на самом высоком месте, у подошвы Машука: | грозы облака будут спускаться до моей кровли.*во время/в случае/в ходе/в продолжение/в течение/на протяжении/вовремя/вслучае/входе/впродолжение/втечение/напротяжении
составной производный предлог*Никто не может быть ограничен в трудовых правах и свободах или получать какие-либо преимущества | пола, расы, цвета кожи, национальности, социального и должностного положения.*в зависимости от
местоимение*Даже городские жители часто имели хозяйство за пределами города и пользовались |, что оно давало.*тем
определительное местоимение* | феномен может быть осмыслен, двояким способом: либо через сопоставление его с другими сущностями или явлениями, либо через раскрытие его собственной уникальной природы.*любой/каждый/всякий
определительное местоимение*А через пять минут я вас и | выгоню. У меня работы – непочатый край.*сама
личное местоимение*А у кита лёгкие по отношению к его общей массе сравнительно невелики, поэтому | уносит в глубины относительно мало воздуха, а с ним и азота, который очень быстро растворяется в его крови.*он
личное местоимение*Когда мы шли обратно, за заборами на разные голоса лаяли собаки. | было множество: овчарки, доги, дворняжки.*их
личное местоимение*Совокупность всех факторов среды называется экологической нишей организма. | характеризует положение данного вида в природе.*она
личное местоимение*Одна из национальных традиций японцев, в которой | воспитываются с детства, – любовь и бережное отношение к окружающей природе.*они
личное местоимение*Люди почувствовали себя участниками истории, | захотелось сохранить, записать неповторимость происходящего.*им
притяжательное местоимение*Даль был близок к человеку труда, прежде всего земледельцу, знал до тонкости предметы народного быта, мысли и чаяния простых людей, | психологию.*их
притяжательное местоимение*При этом современный человек, использующий природные материалы сегодня, должен думать о том, что | запасы небезграничны.*их
притяжательное местоимение*Осенью доктор Даль отправился к Пушкину со | книгой «Русские сказки».*своей
притяжательное местоимение*Я говорю о кумирах, которые основывают | деятельность на вечных ценностях культуры, нравственности, уважения к человеку.*свою
притяжательное местоимение*Позже в каждой | резиденции имелась библиотека, составленная из одних и тех же книг, и поэтому император мог продолжать чтение любой книги, переехав с места на место.*его
указательное местоимение*Углекислый газ пропускает солнечные лучи вниз, но задерживает отдачу тепла в дальние слои атмосферы, а | приводит к росту средней температуры приземного слоя атмосферы и созданию парникового эффекта*это
указательное местоимение*Она заключалась в том, что | здания производили впечатление величия, на самом же деле они были невелики.*эти
указательное местоимение*Постоянный рост средней температуры на поверхности Земли фиксируется с 1861 года. Ряд учёных считает, что | в значительной мере обусловлено промышленными выбросами.*это
указательное местоимение*Среда обитания этого кита – Арктика. Сегодня сохранилось очень малое число | особей, поэтому гренландский кит взят под охрану международным соглашением.*этих
указательное местоимение*Слушая музыку, мы воспринимаем не отдельные звуки, а мелодию; она остаётся | же самой, если её исполняет симфонический оркестр, или один рояль, или человеческий голос.*той
указательное местоимение* |, в частности, объясняется и то, что в ряде стран Азии, Африки и Латинской Америки цветная металлургия возникла давно.*этим
указательное местоимение*Валуны являются результатом деятельности ледников. | обкатанные, слегка закруглённые камни были доставлены льдами в те места, где они остались по сей день.*эти
указательное местоимение*Чаще всего в | случаях ускользает эмоциональная тональность.*этих/таких/тех
указательное местоимение*Всё то, о чём мы говорим, является только содержанием речи, темой наших слов. | темой может быть, например, «природа», «человек», «придаточное предложение».*такой/этой
указательное местоимение*Если б | была и жизнь!*такой/таковой/такова
указательное местоимение*Особенно | важно в тех областях, где исследование переобременено массой описаний и классификаций.*это
относительное местоимение*Для изготовления дешёвой газетной бумаги используют экономичный способ получения целлюлозы – механический: на деревообрабатывающем предприятии лесоматериалы измельчают до крошки, | смешивают с водой.*которую
относительное местоимение*Как прожить жизнь? Прежде всего – не совершать никаких поступков, | роняли бы его достоинство.*которые
относительное местоимение*Я долго смотрел с кормы вслед Севастополю и загадывал, | увижу этот город ещё через недолгое время.*каким
разделительный союз*Существует Вселенная, существует человек, объясняющий мир, выражающий эти объяснения колебаниями звука, жестами | письменными знаками.*или
разделительный союз*Глюкагон регулирует поступление глюкозы в кровь, а инсулин заставляет ткани впитывать глюкозу; соОтвет
ственно, уровень сахара в крови повышается | понижается.*или
разделительный союз*В поисках выхода из сложившейся ситуации предлагаются проекты получения воды путём растапливания айсбергов | активного применения процесса опреснения морской воды.*или
подчинительный причинный союз*Я мучился, | мне показалось, что с нею необходимо говорить, и тревожился, что я не вымолвлю ни одного слова, а она уйдет*потому что/так как/поскольку/потомучто/таккак
подчинительный союз*Механизм свёртывания крови очень сложный и строго последовательный, | каждая реакция катализируется ферментом, образующимся в результате предыдущей реакции.*так как/потому что/оттого что/таккак/потомучто/оттогочто
подчинительный союз*В оркестре роль камертона выполняет деревянный духовой инструмент гобой. Но | с оркестром играет пианист, то все инструменты оркестра настраивают уже по роялю.*когда/если
подчинительный условный союз* | человек высший смысл видит в куске прожаренного мяса, то ему, конечно, подвиг Гумбольда покажется вздорным сумасбродством.*если
подчинительный уступительный союз*Потому в нашем расчётливом, жёстком мире «доктор Лиза» всегда будет выглядеть «не от мира сего», и легче назвать её святой, | её деяния – норма именно для человека.*хотя/несмотря на то что/несмотрянаточто
противительный союз*И раньше люди знали о том, что в стаях волков есть свои вожаки. | теперь выяснилось, что это соподчинение проведено не только среди самцов.*но/однако
противительный союз*Особенностью работы нервной системы является то, что одна группа нервов ускоряет сердцебиение, | другая замедляет его, действуя как своеобразный тормоз.*а
противительный союз*О том, что электрический ток за счёт сопротивления вызывает нагрев проводника, знают даже самые нерадивые школьники. | в природе существуют удивительные материалы – сверхпроводники.*но/однако
противительный союз*Справедливо или несправедливо – другой вопрос, | речь идёт о неписаных кодексах чести, приличия, которых обязан был придерживаться член общества.*но/однако/тем не менее/темнеменее/а/зато/впрочем
противительный союз*О неподобающем употреблении языка писал ещё античный комедиограф Аристофан. | нынешнее наше существование исполнено речевой агрессии как никогда более масштабно.*но
противительный союз*После такой беседы мы поняли: покорять Антарктиду трудно, | можно.*но/однако/зато/да
противительный союз*Счастье было так возможно, | прошло мимо.*но/однако
сочинительный противительный союз*В настоящее время мнение о парниковом эффекте претендует на статус достоверного. | убедительные научные доказательства, подтверждающие это мнение, не приводятся.*но/однако/а/зато/да
сочинительный противительный союз*Позже, становясь самостоятельными, молодые животные достаточно долго находятся в небольшой компании с одногодками, где тоже многому учатся, | уже друг у друга.*но/однако
сочинительный противительный союз*Многие жилые дома были построены по одному из образцовых проектов. | каждый из домов имел своё лицо.*но/однако/а/зато/да
уточняющую частицу* | центральная нервная система человека, работая автоматически, заставляет сердце сокращаться в нужном ритме даже во время сна.*именно
вводное слово*Этим, |, объясняется и то, что в ряде стран Азии, Африки и Латинской Америки цветная металлургия возникла давно.*вероятно/возможно
вводное слово*Под наблюдением учёных оказался композитор, который не мог различать звуки речи: [д] и [т], |, для него звучали одинаково, однако в те же годы он сочинил лучшую из своих симфоний.*например
наречие*Сначала древесная масса проходит химическую обработку, в результате чего получается вытяжка целлюлозы, а | из полученного раствора выделяют чистую целлюлозу, из которой впоследствии производят вискозные волокна.*затем/потом
наречие времени*Он ходил легко и быстро, с военной выправкой – сказывались годы сначала в царской, | в Красной Армии.*затем
наречие*Бумажные осы делают жильё из грубого, но тонкого пергамента. | осы скоблят древесину челюстями.*сначала/вначале/сперва
предлог*С развитием общества | астрономией выдвигались всё новые и новые задачи, для решения которых нужны были более совершенные способы наблюдений и более точные методы расчётов.*перед
производный предлог*Им была прожита с сознательно зорким вниманием долгая жизнь | катаклизмов сменявших друг друга эпох.*внутри
